series,model,parameter,value
price_idiosyncratic_driver,Gaussian,mu,1.10153953551328e-05
price_idiosyncratic_driver,Gaussian,sigma,0.6386488270128549
price_idiosyncratic_driver,NIG,scipy_a,0.32903052701588
price_idiosyncratic_driver,NIG,scipy_b,-0.031805529020885175
price_idiosyncratic_driver,NIG,loc,0.032544431425439106
price_idiosyncratic_driver,NIG,scale,0.3350081939529935
price_idiosyncratic_driver,NIG,alpha,0.9821566545385684
price_idiosyncratic_driver,NIG,beta,-0.09493955549441858
price_idiosyncratic_driver,NIG,delta,0.3350081939529935
price_idiosyncratic_driver,NIG,mu,0.032544431425439106
