model,metric,observed,sim_mean,sim_sd,sim_q025,sim_q50,sim_q975,obs_percentile,two_sided_p,inside_95,n_paths
Gaussian CARMA,Y_std,0.028278929625934184,0.026593492788164586,0.0010318701675441188,0.02480660381587244,0.026583952355381454,0.028749587580400145,0.94,0.1200000000000001,True,250
Gaussian CARMA,Y_skew,0.09252958150108173,0.006036716885898562,0.0871294700401129,-0.1620237006200995,0.005332431379752878,0.16796012687829165,0.84,0.32000000000000006,True,250
Gaussian CARMA,Y_excess_kurtosis,0.7704671359678965,-0.010176950299523113,0.14819045006624323,-0.26666239763370625,-0.024558908530671664,0.3145418714278405,1.0,0.0,False,250
Gaussian CARMA,Y_q01,-0.06539966118019183,-0.06040871713584325,0.005632436531450284,-0.07171484203400669,-0.060238896253859295,-0.049678384046932436,0.188,0.376,True,250
Gaussian CARMA,Y_q05,-0.0465349313024816,-0.04245072700289933,0.004960355031045713,-0.05203614364069655,-0.0422187690918841,-0.032784788919233775,0.204,0.408,True,250
Gaussian CARMA,Y_q95,0.0460155103780319,0.04504682909941033,0.005034320394717496,0.03515281763516376,0.04508906863353128,0.054839544767299825,0.572,0.8560000000000001,True,250
Gaussian CARMA,Y_q99,0.061213962939736216,0.06320387935185635,0.005692341327394981,0.05246556382672558,0.06337510738744327,0.07490651970738699,0.372,0.744,True,250
Gaussian CARMA,DeltaY_std,0.010359140238893089,0.010524685854963457,5.8261470730762045e-05,0.010412481980920669,0.01052285545307763,0.010640297073192756,0.0,0.0,False,250
Gaussian CARMA,DeltaY_excess_kurtosis,7.692984231823939,-0.004074033892983639,0.03766555421671849,-0.07713016621101866,-0.005797515760772587,0.0715575973745146,1.0,0.0,False,250
Gaussian CARMA,DeltaY_q01,-0.028238188693595373,-0.02445484470178644,0.0002937548811491817,-0.024979757799309884,-0.024457417274053192,-0.023820403219275577,0.0,0.0,False,250
Gaussian CARMA,DeltaY_q99,0.030060032279414343,0.024485898771505105,0.0002942893755601237,0.023911228875728604,0.024481318725048416,0.025047449488838646,1.0,0.0,False,250
Gaussian CARMA,ACF_Y_1h,0.9327524102106683,0.9212801769823113,0.006175152723104498,0.9090648425302497,0.9218886601473191,0.9329579161173909,0.972,0.05600000000000005,True,250
Gaussian CARMA,ACF_Y_6h,0.7237907406184482,0.7354124808216309,0.020559961504865776,0.6957862229933651,0.7361528216082178,0.7773960810933449,0.268,0.536,True,250
Gaussian CARMA,ACF_Y_24h,0.623201292564335,0.5639385305564208,0.031740118026269,0.5040310153089171,0.5631079838438642,0.6280375149044892,0.968,0.06400000000000006,True,250
Gaussian CARMA,ACF_Y_72h,0.3229318659730125,0.27085952087948606,0.04993472949702522,0.18626999938749644,0.2670791678422646,0.37406454321234006,0.852,0.29600000000000004,True,250
Gaussian CARMA,ACF_Y_168h,0.1234641325693574,0.10856883848299896,0.05490409602127213,0.014400095611147821,0.10257372147065176,0.2346872773495869,0.648,0.704,True,250
Gaussian CARMA,ACF_Y_336h,0.14724120959241227,0.07107706861310928,0.06303129637798631,-0.04190038780098275,0.06578560432383342,0.19075902185305268,0.868,0.264,True,250
Gaussian CARMA,ACF_DeltaY_1h,-0.006422106909252575,-0.15466489701467617,0.007435631800338871,-0.16716757142136282,-0.1541598975500127,-0.14051357950724136,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaY_6h,-0.03783341198190614,-0.012427728340834603,0.008066382245813922,-0.02725365946606201,-0.012098208048125319,0.0035245043186192776,0.004,0.008,False,250
Gaussian CARMA,ACF_DeltaY_24h,0.17350037038441693,0.01396939604511599,0.007810726988158964,-0.00034486674140910836,0.013952344220839942,0.02988165198284398,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaY_72h,0.08472691683361135,0.01064827909281464,0.007689988658796342,-0.003560986310537159,0.011017846076884323,0.026136618274323148,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaY_168h,0.07209280123673405,0.005506667819301615,0.007757321424113728,-0.008393466505079552,0.005492108658440779,0.02152442450494368,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaY_336h,0.04932009800374511,0.001793415616440201,0.008329818112482472,-0.014335029113205649,0.0013300655090030845,0.018141745581450448,1.0,0.0,False,250
NIG CARMA,Y_std,0.028278929625934184,0.026584050824308064,0.0011694250680151783,0.02472192273768385,0.026461828859548266,0.029185380278659162,0.92,0.15999999999999992,True,250
NIG CARMA,Y_skew,0.09252958150108173,-0.024384053201066416,0.09510785462902499,-0.20344496306929605,-0.02251548130343764,0.14789049633334858,0.9,0.19999999999999996,True,250
NIG CARMA,Y_excess_kurtosis,0.7704671359678965,0.1403582811469724,0.15572132154487758,-0.13436911987215078,0.12996858784367515,0.45275821959732154,1.0,0.0,False,250
NIG CARMA,Y_q01,-0.06539966118019183,-0.062059364459352846,0.0055493255961617804,-0.07349966396790976,-0.062148144169459005,-0.051370253148484965,0.26,0.52,True,250
NIG CARMA,Y_q05,-0.0465349313024816,-0.04291440275500758,0.004864772905794729,-0.05245827282110569,-0.04306484886646049,-0.03365072743447311,0.236,0.472,True,250
NIG CARMA,Y_q95,0.0460155103780319,0.044338258919033494,0.005056235131359468,0.0347951571948475,0.0442830669325521,0.05409017065087752,0.62,0.76,True,250
NIG CARMA,Y_q99,0.061213962939736216,0.06291193817785061,0.005983866517291005,0.05154363284943459,0.06287334704155549,0.07555241903531457,0.364,0.728,True,250
NIG CARMA,DeltaY_std,0.010359140238893089,0.010357124597078809,0.00010245072218777228,0.01016506257539506,0.010346283439246484,0.010566836504942867,0.524,0.952,True,250
NIG CARMA,DeltaY_excess_kurtosis,7.692984231823939,3.6049458761883018,0.5032445143148705,2.920350640011627,3.5321244761372443,4.657071987808821,1.0,0.0,False,250
NIG CARMA,DeltaY_q01,-0.028238188693595373,-0.028979969101942185,0.0005573894825121337,-0.03011043968634623,-0.028988373736234523,-0.027900265610710812,0.912,0.17599999999999993,True,250
NIG CARMA,DeltaY_q99,0.030060032279414343,0.027290526454346077,0.0005283964415507157,0.026315201202738312,0.027272161459365837,0.028320025544373593,1.0,0.0,False,250
NIG CARMA,ACF_Y_1h,0.9327524102106683,0.9236417703719377,0.006412645629206908,0.9116385757715184,0.9231087614691439,0.9367353043150592,0.92,0.15999999999999992,True,250
NIG CARMA,ACF_Y_6h,0.7237907406184482,0.7415079846856032,0.022079746808376387,0.6976668916457863,0.7402528463580258,0.785832104691766,0.204,0.408,True,250
NIG CARMA,ACF_Y_24h,0.623201292564335,0.5706591318914177,0.03594442046877253,0.5054695550062341,0.5683936425635459,0.6416075416401016,0.92,0.15999999999999992,True,250
NIG CARMA,ACF_Y_72h,0.3229318659730125,0.280236020295339,0.057385996897608205,0.18406489066452028,0.27229089780108223,0.3986104589845452,0.776,0.44799999999999995,True,250
NIG CARMA,ACF_Y_168h,0.1234641325693574,0.11865550758492527,0.06527360825799186,0.006342982472258795,0.11375472855514383,0.270000408960955,0.568,0.8640000000000001,True,250
NIG CARMA,ACF_Y_336h,0.14724120959241227,0.07660863236967899,0.06348918100035239,-0.044168890581823585,0.07568211518070343,0.21232019231580299,0.868,0.264,True,250
NIG CARMA,ACF_DeltaY_1h,-0.006422106909252575,-0.15426897273814436,0.007154390394922667,-0.1672240254050979,-0.1544705050051946,-0.14079490114037885,1.0,0.0,False,250
NIG CARMA,ACF_DeltaY_6h,-0.03783341198190614,-0.013370068491469655,0.0075005071689868965,-0.027691798449326562,-0.013247764989142454,0.0006412321832013662,0.0,0.0,False,250
NIG CARMA,ACF_DeltaY_24h,0.17350037038441693,0.012811770135985232,0.007748974144647359,-0.0006843549565102647,0.012811112152357156,0.028353875242961443,1.0,0.0,False,250
NIG CARMA,ACF_DeltaY_72h,0.08472691683361135,0.010929970791870873,0.008088075854302285,-0.004753828284044729,0.010916574183099348,0.02698025559915875,1.0,0.0,False,250
NIG CARMA,ACF_DeltaY_168h,0.07209280123673405,0.004900685179917018,0.008212271525722153,-0.012526409105139427,0.004709856108548063,0.020896835922537483,1.0,0.0,False,250
NIG CARMA,ACF_DeltaY_336h,0.04932009800374511,0.001858566674208668,0.007771862478178028,-0.011904032333276315,0.0014982975310827383,0.017114708067799262,1.0,0.0,False,250
