Kr,Kc,order,rmse,k,aic,bic,cv_heldout
1,0,1,0.1023745508722816,1,-1632.508754019801,-1628.6594292398543,0.01168374141046642
1,1,3,0.07261592183193699,4,-2061.6709424560677,-2046.2736433362802,0.002973998772572352
1,2,5,0.05821532942722518,7,-2197.6481942299297,-2170.7029207703017,0.002095607165522631
1,3,7,0.05659220247384779,10,-2236.3085674238628,-2197.8153196243943,0.0017430171247627068
2,0,2,0.07048214981930588,3,-2076.923353080338,-2065.3753787404976,0.0031255902117033408
2,1,4,0.03337830793176737,6,-2498.045415248287,-2474.949466568606,0.0010103205308339652
2,2,6,0.03122417041333001,9,-2565.5685517025877,-2530.9246286830657,0.0007643455230156087
2,3,8,0.02985263096793371,12,-2689.0170943395433,-2642.825196980181,0.00045621912791563474
3,0,3,0.03413736447796514,5,-2460.9452410977724,-2441.698617198038,0.0011659007254050434
3,1,5,0.031222374297217033,8,-2567.1321654335347,-2536.33756719396,0.000765480173711225
3,2,7,0.0312242683615635,11,-2561.5685515173686,-2519.225978937953,0.0007754736382018175
3,3,9,0.02958394497689939,14,-2690.7976328677387,-2636.9070859484827,0.0004561021393749603
4,0,4,0.03413726444350999,7,-2456.9452406980645,-2429.9999672384365,0.0011659037345189687
4,1,6,0.031222332635242673,10,-2563.1321645191824,-2524.638916719714,0.0007654769731350506
4,2,8,0.031222419019888276,13,-2557.1318592132784,-2507.0906370739694,0.000765481305512438
4,3,10,0.029853377183441863,16,-2680.974427345798,-2619.3852308666483,0.0004561171427432941
