month,start,end,n,mean_observed,mean_forecast,bias,mae,rmse,error_std,corr,q05_error,q50_error,q95_error
1,2025-01-01 00:00:00+00:00,2025-01-07 23:00:00+00:00,168.0,75.42023809523809,75.09242120251541,-0.32781689272267134,40.55714134149569,45.649204810627154,45.648027733160944,0.21729180678125298,-74.31116238788545,-12.415025686480838,65.65339523202063
2,2025-02-01 00:00:00+00:00,2025-02-07 23:00:00+00:00,168.0,138.6479761904762,96.69805156615948,-41.94992462431672,41.94992462431672,45.13883976124564,16.664893609188017,0.7337817649937375,-68.32460610060903,-38.6190691638421,-19.54259524201302
3,2025-03-01 00:00:00+00:00,2025-03-07 23:00:00+00:00,168.0,90.59392857142858,75.76954651214722,-14.824382059281355,21.566638333207273,26.2290015047268,21.637888448169292,0.814644127249619,-46.86378280739296,-16.74666417068221,20.62291932503825
4,2025-04-01 00:00:00+00:00,2025-04-07 23:00:00+00:00,168.0,38.696130952380955,30.446370855636765,-8.249760096744186,21.91617947409023,29.442427298952868,28.263014411068976,0.806413033252445,-62.528643828329294,-3.5189506368796293,24.65223960408732
5,2025-05-01 00:00:00+00:00,2025-05-07 23:00:00+00:00,168.0,14.895833333333334,21.782972285212303,6.887138951878969,15.937300558616682,22.302241743329965,21.21219705347471,0.5988331228045252,-21.42944303675839,7.380709963510683,38.646511832043046
6,2025-06-01 00:00:00+00:00,2025-06-07 23:00:00+00:00,168.0,18.608214285714286,30.1225920070749,11.514377721360617,17.88141924010445,22.11476026996292,18.88072370137768,0.6999897970433586,-21.20691156253786,12.348848915315376,40.54834366372889
7,2025-07-01 00:00:00+00:00,2025-07-07 23:00:00+00:00,168.0,65.84446428571428,61.1712842923494,-4.6731799933648945,19.319019964798436,23.832932113969186,23.370281168584125,0.8470766230411736,-34.24778931801187,-9.176202071818231,29.067050066947587
8,2025-08-01 00:00:00+00:00,2025-08-07 23:00:00+00:00,168.0,42.51095238095238,44.51930628008681,2.0083538991344274,17.216126393116934,23.05479088682287,22.967148221992264,0.792061506580168,-30.663984760127192,-0.6135950749939028,50.20496173478432
9,2025-09-01 00:00:00+00:00,2025-09-07 23:00:00+00:00,168.0,29.24839285714286,39.36801447864747,10.119621621504601,21.36515062766596,25.021771683767405,22.88410619692543,0.6944172545829774,-31.99772479237782,13.478708176088631,43.91381442934817
10,2025-10-01 00:00:00+00:00,2025-10-07 23:00:00+00:00,168.0,51.12678571428571,54.09605436238278,2.969268648097066,22.848360645072063,29.007745805732274,28.855376629415293,0.7741449959427111,-57.571693509655745,4.9217578333237455,42.906134005247004
11,2025-11-01 00:00:00+00:00,2025-11-07 23:00:00+00:00,168.0,40.56345238095238,68.97179546465907,28.408343083706693,32.01817910928288,37.69458005700389,24.775944157837642,0.5989703902766058,-14.76419778610096,29.40950753547905,63.014228671122275
12,2025-12-01 00:00:00+00:00,2025-12-07 23:00:00+00:00,168.0,66.53696428571429,85.81873215636794,19.281767870653646,24.885236950997722,30.175793168725956,23.211891804503075,0.7361983240380752,-16.054833504899538,20.86086123549989,59.444053132084974
