lag_h,empirical,multiscale,"CARMA(4,3) sf-b",err_sf
1,0.9326874016887807,0.9252580338813311,0.9252580338813314,-0.007429367807449294
2,0.8634656346349221,0.8706639635011698,0.8706639635011703,0.00719832886624816
3,0.8104494350480557,0.82760215484895,0.8276021548489509,0.017152719800895277
6,0.7086955708511778,0.7293585049915202,0.7293585049915217,0.020662934140343814
12,0.6096105738793786,0.59526597688319,0.5952659768831914,-0.014344596996187176
18,0.5241182118148258,0.5282492232173767,0.5282492232173782,0.004131011402552454
24,0.5004368865819376,0.4708692520715413,0.4708692520715414,-0.029567634510396235
30,0.3737345020952127,0.38519112859822646,0.38519112859822685,0.011456626503014156
48,0.2631977799789305,0.253843644430297,0.253843644430297,-0.009354135548633513
72,0.15515457462526555,0.1374292137084289,0.13742921370842934,-0.017725360916836214
96,0.037928939302319505,0.07480989632950683,0.07480989632950677,0.036880957027187265
120,-0.03456847113377125,0.04100534955852241,0.04100534955852316,0.0755738206922944
144,-0.05479242293155885,0.022671220196807958,0.022671220196808107,0.07746364312836695
168,-0.05524833472894849,0.012668370975414118,0.012668370975414811,0.0679167057043633
336,-0.018171614534325413,0.0003411470053515988,0.0003411470053516756,0.018512761539677087
720,-0.0020480165031931358,8.590273446187263e-07,8.590273446186407e-07,0.0020488755305377543
1440,0.031888414677405184,2.6062795087663964e-11,2.6062795087659618e-11,-0.03188841465134239
2160,-0.13589510916649047,7.953724851281755e-16,7.953724851284414e-16,0.13589510916649128
