restart,success,objective,loglik,acf_mse,message
1,True,-8.739185377426566,77709.29911639637,0.0007020836779501256,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,True,-8.739190454738772,77709.32254804378,0.0007017541002926909,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,True,-8.739192747332845,77709.32007529827,0.0007015060403113506,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,True,-8.739176275042116,77709.21942745197,0.0007023880320052357,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,True,-8.739186955173206,77709.27694193415,0.0007017573082493409,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,True,-8.739159451021058,77708.93242087797,0.0007018882894690317,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,True,-8.73919350558411,77709.33975777547,0.0007015798633672294,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,True,-8.739177977134124,77709.18101628147,0.0007019257781701919,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,True,-8.739184576216939,77709.28362549565,0.0007020460197779023,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,True,-8.739199317328538,77709.04841084141,0.000698783544016083,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
11,True,-8.73917749465934,77709.25475210068,0.0007025346477295037,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,True,-8.739196018477964,77709.35852342338,0.0007014712514039243,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
