restart,start_kind,success,objective,loglik,acf_mse,nit,nfev,message,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
1,theta0,True,-8.747272048585565,77723.31750307273,0.001011137129574787,101,1056,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7263961930368146,3.7449671993055578,6.579251212010101,2.8127809523217384,5.764445919302138,3.8850580807563264,0.2548262844365626
2,semi_global,True,-8.747117980002953,77721.29111603994,0.0009347610620839411,58,576,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.63912074824458,1.7234629185425543,5.767871456315217,5.06401619300881,2.7826599315787277,3.8844761359869886,0.25482353156463833
3,semi_global,True,-8.648292538735465,76421.48949976929,0.2493977401350767,73,1128,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.2039728043259361,-1.2039728043259361,4.3606842470560245,1.6456591371470164,1.646981004546002,-1.4294485645497281,0.00021557005932222622
4,semi_global,True,-8.829756715716346,78808.19708751034,0.003061587700527766,52,832,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.14650431026233615,-0.6724042347792918,3.4838545942874686,-2.7330595705078014,1.5113804727104492,3.804101583589,0.2608244192209297
5,semi_global,True,-8.747271878707839,77723.31526875592,0.0010140439922874708,85,840,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7289192437247503,3.751825676855486,6.579251212010101,2.8213946090417372,5.763764931919089,3.8828674657026125,0.2548123738997675
6,semi_global,True,-8.747113901802443,77721.23747750772,0.0009146485256646594,65,656,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.713485077491885,3.573539622442904,5.767780789944948,2.735267253342707,5.021469598006236,3.881673515897583,0.254813565709247
7,semi_global,True,-8.829710987823148,78807.59565139502,0.0032904963409875845,63,800,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.437336421015852,-0.16236495804827014,-0.335708926326478,-2.2544799102130515,1.420374538697132,3.764638807294068,0.26082149040009517
8,semi_global,True,-8.747272044935132,77723.31745506042,0.001010782100476897,70,712,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7258127352148445,3.7420146131871475,6.579251212010101,2.8106828959413988,5.761942978171006,3.884606021404738,0.25482526727937144
9,semi_global,True,-8.829746757791085,78808.06611589831,0.0030704205106650553,64,768,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.709705946576828,0.17182437082902072,3.4839280333536737,-2.9385436948018704,1.5219738949198436,3.802734728989504,0.26084712318163816
10,semi_global,True,-8.746910554724924,77718.56295507062,0.0009861180935869039,59,584,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.716385393065182,3.1931251185594873,4.898196417639433,4.039129775685625,2.6364630999718885,3.885466648194061,0.25481008361378227
11,semi_global,True,-8.747272042601935,77723.31742437303,0.0010025056114337117,95,1000,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7262590354912846,3.74553047419021,6.579251212010101,2.8130060589631767,5.7625183334836745,3.885236830671896,0.2548335051180315
12,semi_global,True,-8.537356069664787,74962.39759031718,0.2691033432190298,30,328,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.2039728043259361,-1.2039728043259361,4.514336578123603,1.919247449615281,1.92115561014576,4.642526713686545,2.23176489341592
13,semi_global,True,-8.747272048007742,77723.3174954729,0.0010071716538003778,69,840,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.726263801752306,3.7438711241107887,6.579251212010101,2.8121145780414833,5.76238845977579,3.885098200695294,0.25482731465826514
