restart,success,objective,loglik,acf_mse,message
1,True,3.8853573991086074,-84622.93089843847,0.002557387570672728,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,True,3.8853573971239324,-84622.93724874555,0.002557387256072941,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,True,3.885357397675934,-84622.93584296206,0.0025573873258293383,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,True,3.885357397470492,-84622.93528203145,0.0025573873532375824,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,True,3.88535739959271,-84622.94058885949,0.0025573870941134357,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,True,3.885357396978879,-84622.93626637287,0.00255738730428847,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,True,3.8853574008475706,-84622.93082276358,0.0025573875761370412,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,True,3.8853573975424114,-84622.93896869262,0.002557387171821271,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,True,3.8853573984113363,-84622.93985537758,0.0025573871290401626,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,True,3.885357398201951,-84622.94214895717,0.002557387015921648,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
11,True,3.885357398399762,-84622.93264473468,0.0025573874839966097,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,True,3.885357397523514,-84622.93428251115,0.002557387402495335,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
