model,metric,observed,sim_mean,sim_sd,sim_q025,sim_q50,sim_q975,obs_percentile,two_sided_p,inside_95,n_paths
Gaussian CARMA,XtQ_std,2.6510943824119084,2.583563870986589,0.030196833196426076,2.522905260348831,2.5835404804938196,2.6389764842075873,0.988,0.02400000000000002,False,250
Gaussian CARMA,XtQ_skew,-1.5594436403016707,-0.0004340658807071973,0.02311401928841279,-0.04102430043541869,0.0014254299219813745,0.045770746976674596,0.0,0.0,False,250
Gaussian CARMA,XtQ_excess_kurtosis,3.7897419450995296,-0.000871025226323578,0.03728856654252126,-0.0618482057961669,-0.002112173810613127,0.07647955280734568,1.0,0.0,False,250
Gaussian CARMA,XtQ_q01,-7.583360185954897,-6.0098725146732805,0.11435551602503273,-6.228870315072102,-6.004674753495235,-5.798395268823217,0.0,0.0,False,250
Gaussian CARMA,XtQ_q05,-6.443326010061208,-4.2457166251635465,0.08869765399268706,-4.426915255100121,-4.239788748314118,-4.0972965966298736,0.0,0.0,False,250
Gaussian CARMA,XtQ_q95,3.1757435284486766,4.251523918065581,0.09586572118852445,4.06982506198702,4.2606056324050545,4.440548675805887,0.0,0.0,False,250
Gaussian CARMA,XtQ_q99,4.6297098871932345,6.009846335878752,0.1218231672669573,5.78854564377935,6.018827377837839,6.237671942372463,0.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_std,2.243101702382203,2.1811034460578687,0.008471960072128935,2.1640690310179678,2.181817285408531,2.198041657938793,1.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_excess_kurtosis,12.894158630131226,0.0008822416818843451,0.02268122581095235,-0.04793816371441146,0.0007020594866369301,0.04316816419103351,1.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_q01,-6.328386983572497,-5.077389391014846,0.03841666438970968,-5.152884283260385,-5.078503063854965,-5.003813555845418,0.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_q99,6.926909388299945,5.070987496666288,0.04126085027155966,4.990208778862527,5.071773279763159,5.146436228905162,1.0,0.0,False,250
Gaussian CARMA,ACF_XtQ_1h,0.6420626820447093,0.6434874570414194,0.00835132725500017,0.626005273185705,0.6438955207742341,0.658467877516335,0.424,0.848,True,250
Gaussian CARMA,ACF_XtQ_6h,0.2515276128275644,0.2733597275391599,0.01441082684284434,0.24406166348085018,0.27334999976375274,0.2993371346305209,0.056,0.112,True,250
Gaussian CARMA,ACF_XtQ_24h,0.5565710511377924,0.3820445593718004,0.013557396801405016,0.35348258294550366,0.38236276594699425,0.4071455101542914,1.0,0.0,False,250
Gaussian CARMA,ACF_XtQ_72h,0.2885914720525757,0.1949206722667786,0.01431417600163792,0.16684897283685896,0.19546369308959927,0.22077033243907807,1.0,0.0,False,250
Gaussian CARMA,ACF_XtQ_168h,0.12213358476995743,0.05624203090638145,0.015217603532274391,0.02670963409177795,0.056351714201416825,0.08271875840949806,1.0,0.0,False,250
Gaussian CARMA,ACF_XtQ_336h,0.10784863297023406,0.0071888296118806224,0.014652652632040021,-0.022951456671161753,0.006634014543717225,0.03327746244312544,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_1h,-0.33780520212654985,-0.33231753552216803,0.004554393986604789,-0.3407450436785161,-0.33237887233133434,-0.324103365619271,0.108,0.216,True,250
Gaussian CARMA,ACF_DeltaXtQ_6h,-0.028783285397514548,-0.002944766603157138,0.005417586019632592,-0.012654745278297299,-0.002922086521219918,0.007132523140383571,0.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_24h,0.6666360014294432,0.017091757947145972,0.005232322395106616,0.007440683187253658,0.017017929470687115,0.027439618293826306,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_72h,0.5550938796438999,0.010954678252047632,0.00550725307179828,-0.0005847223336147116,0.011528558828003507,0.020992125695185847,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_168h,0.3991895961103406,0.0048627091228188824,0.005397503441277151,-0.00579280862306854,0.004867872823302248,0.014974041656427118,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_336h,0.18069969413635126,0.000797524072606459,0.006124625867957588,-0.010006085695580888,0.000941192473447791,0.01303502103082428,1.0,0.0,False,250
NIG CARMA,XtQ_std,2.6510943824119084,2.5705023853243483,0.03866814548043063,2.490289397536369,2.5724610702587682,2.6433681120887,0.984,0.03200000000000003,False,250
NIG CARMA,XtQ_skew,-1.5594436403016707,-0.3206691172408048,0.09565221909386151,-0.522082185309809,-0.31252695796073254,-0.15026912461136752,0.0,0.0,False,250
NIG CARMA,XtQ_excess_kurtosis,3.7897419450995296,4.404191796718264,0.6774230176455964,3.3765520877657775,4.26743923043569,6.134383600238221,0.1,0.2,True,250
NIG CARMA,XtQ_q01,-7.583360185954897,-7.012239030456753,0.1927426880883546,-7.389479024604942,-7.011866371941762,-6.65524645946346,0.004,0.008,False,250
NIG CARMA,XtQ_q05,-6.443326010061208,-4.065102158960399,0.12832851983850002,-4.315557107070459,-4.069819215991833,-3.818168379229774,0.0,0.0,False,250
NIG CARMA,XtQ_q95,3.1757435284486766,3.873640115496717,0.10316633262182297,3.681590241044021,3.8698931299169983,4.0680078312446,0.0,0.0,False,250
NIG CARMA,XtQ_q99,4.6297098871932345,6.315999929643116,0.15940250799751637,6.012142937884504,6.311164874647491,6.640009660143697,0.0,0.0,False,250
NIG CARMA,Delta_XtQ_std,2.243101702382203,2.0587824685835936,0.023524927108505955,2.0083034183180435,2.0578337304663057,2.101830736631744,1.0,0.0,False,250
NIG CARMA,Delta_XtQ_excess_kurtosis,12.894158630131226,11.02590993409747,1.764947522707578,8.649362195484352,10.685467608884483,14.823744166984476,0.888,0.22399999999999998,True,250
NIG CARMA,Delta_XtQ_q01,-6.328386983572497,-6.245866064034879,0.11492666330864247,-6.453821489405698,-6.246192981312188,-6.032788940042668,0.232,0.464,True,250
NIG CARMA,Delta_XtQ_q99,6.926909388299945,5.792651780251747,0.09292664922565702,5.612408042490316,5.798967740570994,5.984078853335024,1.0,0.0,False,250
NIG CARMA,ACF_XtQ_1h,0.6420626820447093,0.6791402677282483,0.00677305047775148,0.6664098979149834,0.6785212012711058,0.6918331534681529,0.0,0.0,False,250
NIG CARMA,ACF_XtQ_6h,0.2515276128275644,0.29451025688417626,0.013356605140807052,0.2680357191087562,0.29417698044974017,0.321910104056045,0.0,0.0,False,250
NIG CARMA,ACF_XtQ_24h,0.5565710511377924,0.41851229770782666,0.012082796377588433,0.3956270479522148,0.41830079165183726,0.44082329451448177,1.0,0.0,False,250
NIG CARMA,ACF_XtQ_72h,0.2885914720525757,0.21305171270383022,0.014872348469492981,0.18300475013858894,0.21285809190409832,0.2407268111242411,1.0,0.0,False,250
NIG CARMA,ACF_XtQ_168h,0.12213358476995743,0.062341156532157556,0.015449476864669845,0.03564641363601283,0.060978029751335754,0.09592715224311404,1.0,0.0,False,250
NIG CARMA,ACF_XtQ_336h,0.10784863297023406,0.008376890717068503,0.01591882299055882,-0.021713925359755217,0.009268518704975325,0.036763799136995366,1.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_1h,-0.33780520212654985,-0.32311284404607593,0.0041982361570082815,-0.3308805269408405,-0.3230655684622322,-0.31477158873364525,0.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_6h,-0.028783285397514548,-0.003976313321227359,0.005708102148419094,-0.015258795588931128,-0.00410354724208749,0.0068887835985816884,0.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_24h,0.6666360014294432,0.02092797683079814,0.005823831134412523,0.00949680775509542,0.021245049855967722,0.03273607602690117,1.0,0.0,False,250
