method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.01,1.8829279077682228,0.32677496294922426,3.4390808525872214,0.25,7.340044631013698,27799,3.45519372,1.6297465640426327
corrected low-price negative spikes,negative,0.014499227777777783,1.8830576317542815,0.332979244129638,3.4331360193789253,0.25,7.471429985313089,28042,3.517283313490398,1.6297465640426327
corrected low-price negative spikes,negative,0.018998455555555564,1.8824703823887818,0.33838567370789474,3.4265550910696687,0.25,7.5994989162199476,28272,3.5764579076949246,1.6297465640426327
corrected low-price negative spikes,negative,0.023497683333333345,1.8811585189485178,0.3430603931841514,3.4192566447128843,0.25,7.7244261257559605,28521,3.63271750261358,1.6297465640426327
corrected low-price negative spikes,negative,0.027996911111111127,1.8792617941852563,0.34708766845406647,3.411435919916446,0.25,7.845766054844821,28741,3.6860620982463645,1.6297465640426327
corrected low-price negative spikes,negative,0.03249613888888891,1.876795576558025,0.3505220262570894,3.403069126858961,0.25,7.963556055360846,28973,3.736491694593278,1.6297465640426327
corrected low-price negative spikes,negative,0.036995366666666696,1.8738013828844509,0.35341629571607314,3.3941864700528286,0.25,8.077710532648622,29187,3.7840062916543205,1.6297465640426327
corrected low-price negative spikes,negative,0.04149459444444448,1.870341693930929,0.3558217642785355,3.3848616235833227,0.25,8.188035163527463,29411,3.8286058894294914,1.6297465640426327
corrected low-price negative spikes,negative,0.04599382222222226,1.8664685780954013,0.3577830411027698,3.3751541150880326,0.25,8.294359805120637,29599,3.8702904879187914,1.6297465640426327
corrected low-price negative spikes,negative,0.05049305000000004,1.8622456433257255,0.35934279969987415,3.365148486951577,0.25,8.396443511375125,29791,3.9090600871222208,1.6297465640426327
corrected low-price negative spikes,negative,0.05499227777777782,1.8576736335874247,0.36052790038556326,3.354819366789286,0.25,8.494311628725875,29976,3.9449146870397778,1.6297465640426327
corrected low-price negative spikes,negative,0.0594915055555556,1.8527716093991393,0.36136532192822113,3.3441778968700575,0.25,8.587899917057769,30170,3.977854287671464,1.6297465640426327
corrected low-price negative spikes,negative,0.06399073333333338,1.847570590864353,0.36188141535068996,3.333259766378016,0.25,8.677078773249503,30353,4.00787888901728,1.6297465640426327
corrected low-price negative spikes,negative,0.06848996111111116,1.8420703182489104,0.3620937794170158,3.322046857080805,0.25,8.761855508128317,30549,4.0349884910772245,1.6297465640426327
corrected low-price negative spikes,negative,0.07298918888888895,1.8363069984785074,0.36202479167101753,3.3105892052859973,0.25,8.842057667295457,30718,4.059183093851298,1.6297465640426327
corrected low-price negative spikes,negative,0.07748841666666673,1.8302751437622005,0.36168650498415333,3.2988637825402476,0.25,8.917703354593897,30919,4.080462697339501,1.6297465640426327
corrected low-price negative spikes,negative,0.08198764444444451,1.8239473386752747,0.3610846631092677,3.286810014241282,0.25,8.988915885079868,31098,4.0988273015418315,1.6297465640426327
corrected low-price negative spikes,negative,0.08648687222222229,1.8173186186760348,0.36022765779190213,3.2744095795601673,0.25,9.055708479904645,31303,4.114276906458291,1.6297465640426327
corrected low-price negative spikes,negative,0.09098610000000007,1.8104321302338082,0.3591318143274731,3.2617324461401433,0.25,9.117848591332551,31489,4.12681151208888,1.6297465640426327
corrected low-price negative spikes,negative,0.09548532777777785,1.8032914133397744,0.35780412662206085,3.248778700057488,0.25,9.175291553732288,31677,4.136431118433598,1.6297465640426327
corrected low-price negative spikes,negative,0.09998455555555563,1.795886243120687,0.3562474498577697,3.2355250363836046,0.25,9.228058272316789,31880,4.143135725492444,1.6297465640426327
corrected low-price negative spikes,negative,0.10448378333333341,1.7881985695109879,0.3544617626293558,3.22193537639262,0.25,9.276207696328635,32070,4.14692533326542,1.6297465640426327
