,empirical_rolling_corr
2023-10-29,-0.511223031037332
2023-10-30,-0.517243624238415
2023-10-31,-0.515255329985721
2023-11-01,-0.5143790865608351
2023-11-02,-0.5261072749879631
2023-11-03,-0.5329648821406481
2023-11-04,-0.5424874175628285
2023-11-05,-0.5587874177826605
2023-11-06,-0.56704811396246
2023-11-07,-0.5582858475355171
2023-11-08,-0.5552195610473172
2023-11-09,-0.5577989161464415
2023-11-10,-0.5634865211498071
2023-11-11,-0.5675268299039214
2023-11-12,-0.5635207075030194
2023-11-13,-0.5618367402503136
2023-11-14,-0.562022433863902
2023-11-15,-0.5589914648927452
2023-11-16,-0.5668138995387385
2023-11-17,-0.5748312222103983
2023-11-18,-0.5714957210727539
2023-11-19,-0.5737598232826616
2023-11-20,-0.5752283828636156
2023-11-21,-0.5757687581412904
2023-11-22,-0.5773834430863508
2023-11-23,-0.5866287294671232
2023-11-24,-0.6040182487569373
2023-11-25,-0.6009823922352863
2023-11-26,-0.6002687796977575
2023-11-27,-0.600601917684039
2023-11-28,-0.5972607235534072
2023-11-29,-0.5984057526499927
2023-11-30,-0.6116346068605982
2023-12-01,-0.6294768339973871
2023-12-02,-0.6302886187324439
2023-12-03,-0.6227082803082087
2023-12-04,-0.6209683168606541
2023-12-05,-0.620617041335839
2023-12-06,-0.6174304899195697
2023-12-07,-0.62318798535188
2023-12-08,-0.6299360487351096
2023-12-09,-0.6277431602975844
2023-12-10,-0.6334801326997129
2023-12-11,-0.6379719444535206
2023-12-12,-0.6332011303469678
2023-12-13,-0.617224915646807
2023-12-14,-0.6120264662021502
2023-12-15,-0.6084589420096914
2023-12-16,-0.6007136002487962
2023-12-17,-0.6032731779672531
2023-12-18,-0.6064051385327104
2023-12-19,-0.6130424295642175
2023-12-20,-0.6224960757461272
2023-12-21,-0.6370506433169386
2023-12-22,-0.6589323746965202
2023-12-23,-0.6717637091338728
2023-12-24,-0.6793612354311249
2023-12-25,-0.6964628916558645
2023-12-26,-0.7015258480940635
2023-12-27,-0.7023720857867329
2023-12-28,-0.708441917631882
2023-12-29,-0.7182491629962016
2023-12-30,-0.7258059260779018
2023-12-31,-0.722563854110387
2024-01-01,-0.7263805203920833
2024-01-02,-0.7276307409495356
2024-01-03,-0.7304011849887487
2024-01-04,-0.7279774008377734
2024-01-05,-0.7253838595354117
2024-01-06,-0.7303780294109702
2024-01-07,-0.734106290058715
2024-01-08,-0.739570036837235
2024-01-09,-0.7419857692696632
2024-01-10,-0.7440493269472362
2024-01-11,-0.7453378150081186
2024-01-12,-0.7458816873318893
2024-01-13,-0.7483514747096341
2024-01-14,-0.7522083875489046
2024-01-15,-0.7480113747364999
2024-01-16,-0.7433029281993452
2024-01-17,-0.744572111540745
2024-01-18,-0.7424918519279314
2024-01-19,-0.7430603258193306
2024-01-20,-0.7420208894287349
2024-01-21,-0.7403296922290995
2024-01-22,-0.7430648717090338
2024-01-23,-0.7456999563743257
2024-01-24,-0.7524823445374008
2024-01-25,-0.7507777555140418
2024-01-26,-0.7473310397558407
2024-01-27,-0.7493097481559464
2024-01-28,-0.74425008160599
2024-01-29,-0.7448687610326639
2024-01-30,-0.7408549187048635
2024-01-31,-0.7349690864852988
2024-02-01,-0.7297528277901574
2024-02-02,-0.7289155182358793
2024-02-03,-0.7360293691859795
2024-02-04,-0.7376582561622501
2024-02-05,-0.7340445116621933
2024-02-06,-0.726244767062869
2024-02-07,-0.720865973717149
2024-02-08,-0.7228045718256252
2024-02-09,-0.7287402764115257
2024-02-10,-0.7263397957089596
2024-02-11,-0.7159748069185498
2024-02-12,-0.7075409596691814
2024-02-13,-0.7001433053943015
2024-02-14,-0.6983077929356591
2024-02-15,-0.69786897827499
2024-02-16,-0.6965132523510386
2024-02-17,-0.6959634090940535
2024-02-18,-0.6939637701559506
2024-02-19,-0.6931383870512996
2024-02-20,-0.6841003840281038
2024-02-21,-0.6770158094037956
2024-02-22,-0.6734167024289435
2024-02-23,-0.6633066016232408
2024-02-24,-0.6557337654070533
2024-02-25,-0.6490791783964774
2024-02-26,-0.6352523800895128
2024-02-27,-0.6146964370809858
2024-02-28,-0.594220012715581
2024-02-29,-0.5957607971745446
2024-03-01,-0.5906349976782223
2024-03-02,-0.5889236383857189
2024-03-03,-0.5725485980583421
2024-03-04,-0.5698316209936464
2024-03-05,-0.5699795971126911
2024-03-06,-0.5718328850410708
2024-03-07,-0.5697357288993534
2024-03-08,-0.5680640458881653
2024-03-09,-0.5594473987149398
2024-03-10,-0.5391265391122508
2024-03-11,-0.51916163684166
2024-03-12,-0.5063391003424581
2024-03-13,-0.5051522025789331
2024-03-14,-0.5100860119703193
2024-03-15,-0.5262558842940235
2024-03-16,-0.5463776309278604
2024-03-17,-0.5433267091261292
2024-03-18,-0.5312400692503779
2024-03-19,-0.535129769350783
2024-03-20,-0.5487670681888065
2024-03-21,-0.5547809776191799
2024-03-22,-0.550470852216586
2024-03-23,-0.5498806760782451
2024-03-24,-0.5422571143042627
2024-03-25,-0.5447829792943435
2024-03-26,-0.5487310576118849
2024-03-27,-0.5481343899582581
2024-03-28,-0.553222627859366
2024-03-29,-0.5630057878710574
2024-03-30,-0.5560764119335871
2024-03-31,-0.546088972704404
2024-04-01,-0.5363363782095614
2024-04-02,-0.5515216459092249
2024-04-03,-0.5474904698002347
2024-04-04,-0.5276106414613473
2024-04-05,-0.49578122604061964
2024-04-06,-0.4826709248003313
2024-04-07,-0.4802339211922306
2024-04-08,-0.47420603496691127
2024-04-09,-0.47519765723558754
2024-04-10,-0.47734348356753786
2024-04-11,-0.4773544318723777
2024-04-12,-0.480315713452168
2024-04-13,-0.48096143665858193
2024-04-14,-0.49194854980495945
2024-04-15,-0.49994528755550477
2024-04-16,-0.502589690294074
2024-04-17,-0.5076754242801212
2024-04-18,-0.5178669453226351
2024-04-19,-0.5205046539028726
2024-04-20,-0.5175538707185309
2024-04-21,-0.5133456363733683
2024-04-22,-0.5148170356619981
2024-04-23,-0.5173038489857242
2024-04-24,-0.5244162149228329
2024-04-25,-0.5286543319988611
2024-04-26,-0.5316959581263796
2024-04-27,-0.5326527077071259
2024-04-28,-0.5312436368072598
2024-04-29,-0.5296168410557011
2024-04-30,-0.5269283797968166
2024-05-01,-0.5177015606731589
2024-05-02,-0.5161627338880617
2024-05-03,-0.5132441498983215
2024-05-04,-0.5105543005255642
2024-05-05,-0.5062242108494601
2024-05-06,-0.507724586276394
2024-05-07,-0.513907118036767
2024-05-08,-0.5237743154089056
2024-05-09,-0.5186405749907746
2024-05-10,-0.5079551740111828
2024-05-11,-0.4966525510963311
2024-05-12,-0.46774094439251374
2024-05-13,-0.44872822251550953
2024-05-14,-0.44246144044183855
2024-05-15,-0.44021768715082904
2024-05-16,-0.44044618535850216
2024-05-17,-0.4381655911712623
2024-05-18,-0.43069912189749254
2024-05-19,-0.41793928497729044
2024-05-20,-0.4025152633016369
2024-05-21,-0.3965304632198132
2024-05-22,-0.38979019379011465
2024-05-23,-0.3811427630762004
2024-05-24,-0.3877806701079883
2024-05-25,-0.3886560826371681
2024-05-26,-0.3839592371776883
2024-05-27,-0.38056273154940595
2024-05-28,-0.37809352585246736
2024-05-29,-0.3778345107530307
2024-05-30,-0.38663986903620207
2024-05-31,-0.3958181073488749
2024-06-01,-0.38374962561046666
2024-06-02,-0.37620986562115194
2024-06-03,-0.37672213726695764
2024-06-04,-0.3858647808270192
2024-06-05,-0.3875176479901962
2024-06-06,-0.3825046018617591
2024-06-07,-0.3820747861710853
2024-06-08,-0.38336558651483443
2024-06-09,-0.3809472092761583
2024-06-10,-0.3787981499359337
2024-06-11,-0.37302540487112695
2024-06-12,-0.36440988975272015
2024-06-13,-0.34082957876128533
2024-06-14,-0.33105170970634806
2024-06-15,-0.3413265802521994
2024-06-16,-0.3594607821582527
2024-06-17,-0.3573768710118102
2024-06-18,-0.36480160397445666
2024-06-19,-0.37367568194841816
2024-06-20,-0.3770130196865787
2024-06-21,-0.3807442089422272
2024-06-22,-0.38075370797043734
2024-06-23,-0.37939853877825275
2024-06-24,-0.3752716109219607
2024-06-25,-0.37363488188021204
2024-06-26,-0.37064057787344923
2024-06-27,-0.3637997811632981
2024-06-28,-0.3609952855635257
2024-06-29,-0.36329773360680634
2024-06-30,-0.3575345089308654
2024-07-01,-0.34583430022270467
2024-07-02,-0.34620516887880454
2024-07-03,-0.3486927559144668
2024-07-04,-0.35692911913273967
2024-07-05,-0.3701718183340657
2024-07-06,-0.38495015308785424
2024-07-07,-0.40640349662940234
2024-07-08,-0.4123764724918833
2024-07-09,-0.4205449455737927
2024-07-10,-0.4263543937984247
2024-07-11,-0.44661032537728823
2024-07-12,-0.4590031867778983
2024-07-13,-0.46524692117221145
2024-07-14,-0.4567765732066764
2024-07-15,-0.4492231251779466
2024-07-16,-0.4549136599990509
2024-07-17,-0.460193427732088
2024-07-18,-0.4680563696856714
2024-07-19,-0.4795557008944373
2024-07-20,-0.47998732140237504
2024-07-21,-0.47694007982592357
2024-07-22,-0.47190405790173134
2024-07-23,-0.4677240693554665
2024-07-24,-0.4708810941619012
2024-07-25,-0.47993714902040496
2024-07-26,-0.4844447533852134
2024-07-27,-0.48154480629790575
2024-07-28,-0.482075823293971
2024-07-29,-0.4786380084620063
2024-07-30,-0.4687578577316592
2024-07-31,-0.4641340758930415
2024-08-01,-0.46453281172112226
2024-08-02,-0.4697044735830446
2024-08-03,-0.46915656684395923
2024-08-04,-0.4711048909744053
2024-08-05,-0.4725562556641276
2024-08-06,-0.47029943790547324
2024-08-07,-0.4646997243107574
2024-08-08,-0.46287962536384236
2024-08-09,-0.46597296234041125
2024-08-10,-0.47502143792076407
2024-08-11,-0.47610767679355037
2024-08-12,-0.46799752827191465
2024-08-13,-0.4608503263120034
2024-08-14,-0.44279427370801433
2024-08-15,-0.4170053875796558
2024-08-16,-0.4099525868064753
2024-08-17,-0.40851994024600563
2024-08-18,-0.4081045801948857
2024-08-19,-0.40748865751619184
2024-08-20,-0.4066206985450244
2024-08-21,-0.40284774130524487
2024-08-22,-0.40495377177529673
2024-08-23,-0.41460074751186654
2024-08-24,-0.42249607991585664
2024-08-25,-0.44241217375497754
2024-08-26,-0.4485110048869194
2024-08-27,-0.44515855159141265
2024-08-28,-0.4388989849730527
2024-08-29,-0.4368944063350981
