branch,path,date,wind_cf_pct,price_lw_eur_mwh
Constant covariance,49,2024-03-18,24.594498806860813,91.13120976141128
Constant covariance,40,2023-09-16,79.98043158825077,90.57402372294668
Constant covariance,0,2025-07-29,11.417109286333753,106.63047478893536
Constant covariance,7,2025-05-25,19.956368362904563,28.08135061874102
Constant covariance,23,2024-10-22,22.917181093125645,65.03851264578472
Constant covariance,18,2023-12-17,37.57890780447471,53.083886154874534
Constant covariance,1,2024-08-01,1.0842502441949244,101.72493664037026
Constant covariance,0,2023-09-29,20.777907641892305,67.8562418186269
Constant covariance,10,2024-05-14,17.86267555702632,93.6243133133162
Constant covariance,32,2024-06-10,33.15342672856455,96.39893362170397
Constant covariance,44,2025-05-09,8.559205629983124,44.461430081463725
Constant covariance,15,2024-10-01,16.730988362980785,81.20717632038297
Constant covariance,28,2025-02-23,26.916549770828446,73.70819478275372
Constant covariance,19,2024-10-09,15.993089470083133,117.2919362514056
Constant covariance,8,2024-12-17,33.26009368530056,93.28047220721503
Constant covariance,5,2024-11-03,10.526944517763548,23.07301061307282
Constant covariance,44,2025-06-23,6.271962736379607,99.16964006044246
Constant covariance,12,2024-04-08,10.426767953860356,87.4336501890121
Constant covariance,4,2025-04-25,4.474702354354446,82.6370343592873
Constant covariance,28,2024-01-23,42.71013442778438,64.7464673511029
Constant covariance,40,2024-11-09,29.114887627196655,64.5822618919803
Constant covariance,40,2024-01-17,7.849030321165571,91.86949139288168
Constant covariance,10,2024-02-26,58.50345085594374,104.37981932531635
Constant covariance,1,2025-01-09,16.097596700993773,129.6257076360987
Constant covariance,39,2024-09-01,26.970399123875215,26.321906296658437
Constant covariance,36,2025-06-28,9.104117428711902,34.78122040226364
Constant covariance,15,2025-03-07,27.452947832157008,125.2546327179512
Constant covariance,40,2025-06-06,12.529036363861918,134.4436544607963
Constant covariance,23,2024-09-14,11.12103125408989,73.48057141410841
Constant covariance,49,2024-05-07,10.022472211069378,62.26309965666032
Constant covariance,49,2024-08-09,4.572561503292716,44.75896925406641
Constant covariance,7,2024-04-14,13.968807659566618,17.152936953620532
Constant covariance,30,2024-10-02,6.332334623560092,100.20159611843627
Constant covariance,10,2024-05-28,14.897820591045255,45.57023829629481
Constant covariance,33,2025-06-09,27.79989902353251,71.1338930790527
Constant covariance,47,2025-07-26,17.132576966025916,84.67254903680342
Constant covariance,13,2024-01-05,19.814755716132684,100.19439492981942
Constant covariance,44,2025-02-27,20.281724652947393,132.23778283474033
Constant covariance,11,2024-08-10,34.63070854270598,10.849695716102065
Constant covariance,33,2025-04-18,6.0339293418248365,83.8566403080375
Constant covariance,43,2025-04-10,17.02496617835647,51.15168927755567
Constant covariance,3,2025-07-04,42.48806566883044,104.1297592331784
