window_label,branch,mean_corr,q05,q50,q95
7D,Empirical,-0.3033054833271879,-0.6046362064880105,-0.3168883020323821,0.24908172065254328
7D,Constant covariance,-0.3155329544516819,-0.6426250635223971,-0.3335371713732101,0.06984544597430771
7D,Stochastic covariance,-0.3187665070359871,-0.7065395361365358,-0.3439653046730012,0.15383394915386445
14D,Empirical,-0.2971585385733012,-0.5602257649815614,-0.33967814556937603,0.16140678784416734
14D,Constant covariance,-0.32237369385327536,-0.5981257108102638,-0.33863424591702923,-0.0008123987991790507
14D,Stochastic covariance,-0.31499722184864415,-0.6782958578476963,-0.33938637304647995,0.11621591715133453
30D,Empirical,-0.294774836949902,-0.4801129079846856,-0.34795093432101865,-0.025626735196133423
30D,Constant covariance,-0.31966139703781477,-0.539435785578747,-0.3283548894432335,-0.06897639095779211
30D,Stochastic covariance,-0.30621210839303514,-0.6124046690163877,-0.31981117621683786,0.04003189962156126
60D,Empirical,-0.3529422474655191,-0.4606012738599054,-0.3708368611353683,-0.2065871394757519
60D,Constant covariance,-0.31283659426247273,-0.47821445886933545,-0.31913927593348845,-0.12692370745078196
60D,Stochastic covariance,-0.30716780080393197,-0.5855618080522726,-0.31705101388616735,-0.006049868411419066
