,empirical_rolling_corr
2025-06-18 23:00:00,-0.20624582934273303
2025-06-19 00:00:00,-0.20620787580412653
2025-06-19 01:00:00,-0.20613612336557077
2025-06-19 02:00:00,-0.20597837601918992
2025-06-19 03:00:00,-0.20578543435423763
2025-06-19 04:00:00,-0.20557427694520203
2025-06-19 05:00:00,-0.20525773935164512
2025-06-19 06:00:00,-0.20490973182024955
2025-06-19 07:00:00,-0.20476642968811823
2025-06-19 08:00:00,-0.20482168366513218
2025-06-19 09:00:00,-0.20556936561082106
2025-06-19 10:00:00,-0.206778619560877
2025-06-19 11:00:00,-0.20832566270056133
2025-06-19 12:00:00,-0.2106423469205419
2025-06-19 13:00:00,-0.21336222906485133
2025-06-19 14:00:00,-0.21599928763216655
2025-06-19 15:00:00,-0.21808277801153586
2025-06-19 16:00:00,-0.219709928383757
2025-06-19 17:00:00,-0.22027184541219486
2025-06-19 18:00:00,-0.21974442032502128
2025-06-19 19:00:00,-0.2186267566851248
2025-06-19 20:00:00,-0.2171607150222775
2025-06-19 21:00:00,-0.2160937759280924
2025-06-19 22:00:00,-0.21517580518806054
2025-06-19 23:00:00,-0.21449320934701857
2025-06-20 00:00:00,-0.21409267704301405
2025-06-20 01:00:00,-0.21390311811060428
2025-06-20 02:00:00,-0.21377718175250718
2025-06-20 03:00:00,-0.21372447174736922
2025-06-20 04:00:00,-0.21375117433323396
2025-06-20 05:00:00,-0.21383716165663613
2025-06-20 06:00:00,-0.21405945653376632
2025-06-20 07:00:00,-0.21440747060361723
2025-06-20 08:00:00,-0.2147691912459655
2025-06-20 09:00:00,-0.21472740923698416
2025-06-20 10:00:00,-0.21387897413427387
2025-06-20 11:00:00,-0.21317510456163083
2025-06-20 12:00:00,-0.21262398934381313
2025-06-20 13:00:00,-0.21204206220009114
2025-06-20 14:00:00,-0.21156365155975132
2025-06-20 15:00:00,-0.21118653688576047
2025-06-20 16:00:00,-0.21072123592464215
2025-06-20 17:00:00,-0.21072784425398502
2025-06-20 18:00:00,-0.21081979478926013
2025-06-20 19:00:00,-0.21120149446778358
2025-06-20 20:00:00,-0.2116377924492558
2025-06-20 21:00:00,-0.2119527535684846
2025-06-20 22:00:00,-0.21171621960861137
2025-06-20 23:00:00,-0.21158637382135906
2025-06-21 00:00:00,-0.21179229936303573
2025-06-21 01:00:00,-0.2120521882426466
2025-06-21 02:00:00,-0.2123314729723454
2025-06-21 03:00:00,-0.2126344400679689
2025-06-21 04:00:00,-0.212977417965336
2025-06-21 05:00:00,-0.2131609796068817
2025-06-21 06:00:00,-0.2131258851087999
2025-06-21 07:00:00,-0.21270908268900662
2025-06-21 08:00:00,-0.21213313949593238
2025-06-21 09:00:00,-0.2107242747484367
2025-06-21 10:00:00,-0.20911182282292162
2025-06-21 11:00:00,-0.20753435895333971
2025-06-21 12:00:00,-0.2058909547077562
2025-06-21 13:00:00,-0.20410439456821314
2025-06-21 14:00:00,-0.20234550636228082
2025-06-21 15:00:00,-0.20092016796429307
2025-06-21 16:00:00,-0.1995256103969145
2025-06-21 17:00:00,-0.1989876999332272
2025-06-21 18:00:00,-0.19875473113140926
2025-06-21 19:00:00,-0.19806705877155764
2025-06-21 20:00:00,-0.19711208723320547
2025-06-21 21:00:00,-0.19711905848819902
2025-06-21 22:00:00,-0.19700937891333892
2025-06-21 23:00:00,-0.19677848848527438
2025-06-22 00:00:00,-0.19647041793957418
2025-06-22 01:00:00,-0.19625930063952737
2025-06-22 02:00:00,-0.1960738679184916
2025-06-22 03:00:00,-0.1958243602000108
2025-06-22 04:00:00,-0.1954532960894985
2025-06-22 05:00:00,-0.1949668724035429
2025-06-22 06:00:00,-0.19404526433483918
2025-06-22 07:00:00,-0.19273926279420567
2025-06-22 08:00:00,-0.1917010066225576
2025-06-22 09:00:00,-0.19061523006701192
2025-06-22 10:00:00,-0.1890831386758702
2025-06-22 11:00:00,-0.18713833324614648
2025-06-22 12:00:00,-0.1850372427105111
2025-06-22 13:00:00,-0.18277243530315543
2025-06-22 14:00:00,-0.18115865933695627
2025-06-22 15:00:00,-0.18035160874680756
2025-06-22 16:00:00,-0.17996367412315165
2025-06-22 17:00:00,-0.179410824833878
2025-06-22 18:00:00,-0.1786962712875137
2025-06-22 19:00:00,-0.1777510525597877
