restart,success,objective,loglik,acf_mse,message
1,True,-2.3067500829311856,-6984.709802343191,0.0007130567217713809,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,True,-2.306830313814381,-6983.727776603612,0.000657393576624772,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,True,-2.306743432811154,-6984.787399161142,0.0007205601513546282,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,True,-2.3067782045219327,-6984.380198006975,0.0006824428566593751,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,True,-2.3067327099108903,-6984.910288251058,0.0007343551377103056,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,True,-2.306766674000464,-6984.516460916656,0.0006941457830483637,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,True,-2.3067758540982797,-6984.408196738223,0.0006846593294562737,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,True,-2.3068302625333605,-6983.728868034763,0.0006570765589259688,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,True,-2.306830301974742,-6983.725940811631,0.0006589077471932927,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,True,-2.3067535466146842,-6984.668335943541,0.0007099472767426517,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
11,True,-2.30678263372073,-6984.327478540425,0.0006782340973848001,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,True,-2.306733367709805,-6984.902790838036,0.0007334775196116205,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
